country,Alcoholic.Beverages,Animal.fats,Animal.Products,Aquatic.Products..Other,Cereals...Excluding.Beer,Eggs,Fish..Seafood,Fruits...Excluding.Wine,Meat,Milk...Excluding.Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy.Roots,Stimulants,Sugar...Sweeteners,Sugar.Crops,Treenuts,Vegetable.Oils,Vegetables,Vegetal.Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit..all.except.Population.,Region
United Republic of Tanzania,4.5185,0.0403,4.8022,0,10.4453,0.03,0.5828,6.8147,0.7902,3.3606,0.0214,0,1.2839,2.1761,0.0274,13.937,0.03,1.0345,0,0.042,0.9136,3.952,45.1973,7.1,30.7,0.000877511,3.62E-05,0.00031549,0.000525817,58005000,%,EasternAfrica
United States,4.8647,0.1681,21.2352,0.002,5.5048,0.786,1.1287,4.5432,6.2645,12.8657,0,0.0197,0.3246,0.1893,0.049,2.839,0.2458,3.32,0,0.1772,0.9889,5.7249,28.7587,37.3,2.5,0.397854493,0.023938715,0.064569972,0.313934249,329153000,%,NorthernAmerica
Uruguay,3.5664,0.21,17.8865,0,10.251,0.7764,0.6058,5.3746,3.7863,12.3906,0.3918,0.1168,0.277,0.1936,0.0144,3.044,0.6169,3.4102,0,0.0131,1.0337,3.9333,32.1076,28.9,2.5,0.019948849,0.000511509,0.014578005,0.004859335,3519000,%,SouthAmerica
Uzbekistan,0.6835,0.1353,14.4463,0,10.5365,0.3566,0.1218,5.215,1.8621,11.7952,0.04,0.1748,0.0287,0.0022,0.0038,2.8891,0.0644,0.5796,0,0.0649,0.6109,14.8354,35.554,15.3,6.3,0.007018016,2.99E-05,0.005515222,0.001472917,33471000,%,CentralAsia
Vanuatu,0.2424,0.0793,6.6244,0,6.4102,0.1875,2.1649,5.8103,2.7466,1.2692,0.2882,0.1776,12.1763,8.00E-04,0.0374,12.7275,0.0305,1.3645,0,0.0038,0.3674,3.9175,43.3737,23.5,7.2,NA,NA,NA,NA,313000,%,Melanesia
Venezuela,2.5952,0.0403,14.7565,0,12.9253,0.3389,0.9456,7.646,3.8328,9.392,0.0702,0.2078,0.0281,0.3342,9.00E-04,2.5643,0.1479,3.4106,0,9.00E-04,1.3734,4.1474,35.2416,25.2,21.2,0.001409735,3.51E-05,0.000666293,0.000708374,28516000,%,SouthAmerica
Vietnam,1.4591,0.164,8.5765,0.0042,16.874,0.3077,2.6392,5.9029,4.4382,0.6069,0.0126,0.4149,0.841,0.2032,0.2074,1.0596,0.288,1.2846,0.815,0.307,0.2201,11.9508,41.4232,2.1,9.3,0.000301079,0,0.000251944,4.91E-05,95656000,%,NA
Yemen,0.0364,0.0446,5.7874,0,27.2077,0.2579,0.524,5.1344,2.7871,1.8911,0.2033,0.2827,0.0893,0.8645,0.0347,1.0794,0.2199,5.0468,0,0.0017,1.0811,3.2135,44.2126,14.1,38.9,0.00011659,2.40E-05,3.43E-06,8.92E-05,29162000,%,WesternAsia
Zambia,5.736,0.0829,6.0197,0,21.1938,0.3399,1.6924,1.0183,1.8427,1.757,0.2149,0.3048,1.8736,0.1756,0.0478,7.9649,0.0618,1.5632,0,0.0014,0.6657,3.4649,43.9789,6.5,46.7,0.001410895,3.92E-05,0.000627065,0.000744639,17861000,%,EasternAfrica
Zimbabwe,4.0552,0.0755,8.1489,0,22.624,0.2678,0.5518,2.2,2.6142,4.431,0.2012,0.2086,0.4498,0.4261,0.0252,2.987,0.1494,4.6485,0,0.0518,1.7103,2.3213,41.8526,12.3,51.3,0.000238989,2.73E-05,6.15E-05,0.000150222,14645000,%,EasternAfrica
